"BB-ECM_Fuel_Temperature_Sensor_Voltage","Fuel_Temp_Sensor_V","22FD89","(1.0*((A*256+B)))/6553.6","0","0","V","7E0","","",1,0
"BB-ECM_Fuel_Level_Sensor_Resistor","FuelLevelResistor","222005","(A*256+B)","5","350","Ohm","743","","",1,0
"BB-ECM_Fuel_Level_LT","FuelLevel_LT","222203","(A*2.56+B*0.01)/50*100","0","100","%","743","","",1,0
"BB-ECM_Fuel_Level_ST","FuelLevel_ST","222201","(A*2.56+B*0.01)/50*100","0","100","%","743","","",1,0
"BB-ECM_Speed_Limiter_State","SpeedLimit","22204C","LOOKUP((A&7):0:2=1)","0","1","","7E0","","",1,0
"BB-HVAC_AC_State","AC","22201E","{A:0}","0","1","","","","",1,0
"BB-HVAC_Air_Supply_Flow","AC_Flow","222413","(1.0*((A*256+B)))/10","0","0","mg/cp","7E0","","",1,0
"BB-Transmission_Clutch_Position","Clutch","22222F","{A:0}","0","1","","7E0","","",1,0
"BB-Transmission_Neutral_State","Neutral","22222E","(A&3)","0","1","","7E0","","",1,0
"BB-Transmission_Reverse_Engaged","Reverse","222079","{A:1}","0","0","","7E0","","",1,0
CC_Fuel Level,Fuel,012F,{A:0} * 100 / 255,0,100.0,%,7E0
CC_DPF Temperature,DPF Temp,2211,{A:0} - 40,-40,1200.0,°C,7E0
CC_DPF Pressure Differential,DPF Pressure,2230,{A:0} * 0.01,0,5.0,kPa,7E0
CC_DPF Regeneration Status,Regen Status,2209,{A:0},0,1.0,Boolean,7E0
CC_Soot Accumulation Level,Soot Level,220A,{A:0} * 0.01,0,50.0,g/L,7E0
CC_Distance Since Last Regeneration,Regen Distance,220B,{A:0} * 10,0,5000.0,km,7E0


